isolate	scheme	ST	adk	fumC	gyrB	icd	mdh	purA	recA
GCF_016774415.1_ASM1677441v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016775805.1_ASM1677580v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016775825.1_ASM1677582v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775845.1_ASM1677584v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775865.1_ASM1677586v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775885.1_ASM1677588v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775905.1_ASM1677590v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016775925.1_ASM1677592v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016775945.1_ASM1677594v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775965.1_ASM1677596v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016775985.1_ASM1677598v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776005.1_ASM1677600v1	ecoli_achtman_4	1722	adk(101)	fumC(4)	gyrB(97)	icd(29)	mdh(70)	purA(158)	recA(2)
GCF_016776025.1_ASM1677602v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776045.1_ASM1677604v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776065.1_ASM1677606v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776085.1_ASM1677608v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776105.1_ASM1677610v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776125.1_ASM1677612v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016776145.1_ASM1677614v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776165.1_ASM1677616v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776185.1_ASM1677618v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016776205.1_ASM1677620v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776225.1_ASM1677622v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016776245.1_ASM1677624v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776265.1_ASM1677626v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016776285.1_ASM1677628v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016776305.1_ASM1677630v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016776325.1_ASM1677632v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016776345.1_ASM1677634v1	ecoli_achtman_4	940	adk(6)	fumC(6)	gyrB(22)	icd(16)	mdh(11)	purA(1)	recA(7)
GCF_016776365.1_ASM1677636v1	ecoli_achtman_4	349	adk(34)	fumC(36)	gyrB(39)	icd(87)	mdh(67)	purA(16)	recA(4)
GCF_016776385.1_ASM1677638v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016779865.1_ASM1677986v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016780285.1_ASM1678028v1	ecoli_achtman_4	361	adk(10)	fumC(99)	gyrB(5)	icd(91)	mdh(8)	purA(7)	recA(2)
GCF_016780415.1_ASM1678041v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016780575.1_ASM1678057v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016780725.1_ASM1678072v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016803855.1_ASM1680385v1	ecoli_achtman_4	410	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
GCF_016803875.1_ASM1680387v1	ecoli_achtman_4	25	adk(6)	fumC(6)	gyrB(14)	icd(21)	mdh(9)	purA(7)	recA(7)
GCF_016803915.1_ASM1680391v1	ecoli_achtman_4	829	adk(6)	fumC(95)	gyrB(33)	icd(156)	mdh(9)	purA(8)	recA(14)
GCF_016803935.1_ASM1680393v1	ecoli_achtman_4	28	adk(13)	fumC(21)	gyrB(13)	icd(22)	mdh(17)	purA(14)	recA(15)
GCF_016806005.1_ASM1680600v1	ecoli_achtman_4	2169	adk(6)	fumC(29)	gyrB(5)	icd(26)	mdh(11)	purA(8)	recA(2)
GCF_016806025.1_ASM1680602v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_016806045.1_ASM1680604v1	ecoli_achtman_4	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
GCF_016811855.1_ASM1681185v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016811875.1_ASM1681187v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016864175.1_ASM1686417v1	ecoli_achtman_4	140	adk(55)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016864475.1_ASM1686447v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_016888925.1_ASM1688892v1	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_016888965.1_ASM1688896v1	ecoli_achtman_4	2604	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(244)	purA(10)	recA(9)
GCF_016889025.1_ASM1688902v1	ecoli_achtman_4	998	adk(13)	fumC(52)	gyrB(156)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_016889045.1_ASM1688904v1	ecoli_achtman_4	1278	adk(36)	fumC(238)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_016889085.1_ASM1688908v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016889105.1_ASM1688910v1	ecoli_achtman_4	420	adk(13)	fumC(38)	gyrB(84)	icd(13)	mdh(17)	purA(68)	recA(34)
GCF_016889125.1_ASM1688912v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016889185.1_ASM1688918v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_016889265.1_ASM1688926v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_016889325.1_ASM1688932v1	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_016889485.1_ASM1688948v1	ecoli_achtman_4	202	adk(64)	fumC(11)	gyrB(5)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016889505.1_ASM1688950v1	ecoli_achtman_4	2973	adk(6)	fumC(95)	gyrB(158)	icd(56)	mdh(11)	purA(8)	recA(41)
GCF_016889525.1_ASM1688952v1	ecoli_achtman_4	7122	adk(623)	fumC(11)	gyrB(4)	icd(12)	mdh(8)	purA(45)	recA(2)
GCF_016889545.1_ASM1688954v1	ecoli_achtman_4	-	adk(64)	fumC(153)	gyrB(188)	icd(83)	mdh(~7)	purA(8)	recA(6)
GCF_016889565.1_ASM1688956v1	ecoli_achtman_4	7941	adk(10)	fumC(27)	gyrB(5)	icd(10)	mdh(179)	purA(8)	recA(2)
GCF_016889605.1_ASM1688960v1	ecoli_achtman_4	457	adk(101)	fumC(88)	gyrB(97)	icd(108)	mdh(26)	purA(79)	recA(2)
GCF_016889625.1_ASM1688962v1	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_016889685.1_ASM1688968v1	ecoli_achtman_4	141	adk(13)	fumC(52)	gyrB(10)	icd(14)	mdh(17)	purA(25)	recA(17)
GCF_016889725.1_ASM1688972v1	ecoli_achtman_4	14	adk(14)	fumC(14)	gyrB(10)	icd(14)	mdh(17)	purA(7)	recA(10)
GCF_016889845.1_ASM1688984v1	ecoli_achtman_4	43	adk(24)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016889865.1_ASM1688986v1	ecoli_achtman_4	569	adk(13)	fumC(38)	gyrB(84)	icd(13)	mdh(17)	purA(64)	recA(34)
GCF_016889905.1_ASM1688990v1	ecoli_achtman_4	12	adk(13)	fumC(13)	gyrB(9)	icd(13)	mdh(16)	purA(10)	recA(9)
GCF_016890005.1_ASM1689000v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_016890045.1_ASM1689004v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_016890105.1_ASM1689010v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_016903275.1_ASM1690327v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016903315.1_ASM1690331v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016903335.1_ASM1690333v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016903375.1_ASM1690337v1	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_016903435.1_ASM1690343v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016903535.1_ASM1690353v1	ecoli_achtman_4	491	adk(13)	fumC(39)	gyrB(19)	icd(36)	mdh(30)	purA(14)	recA(82)
GCF_016903595.1_ASM1690359v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016903615.1_ASM1690361v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016903815.1_ASM1690381v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016903835.1_ASM1690383v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016903855.1_ASM1690385v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016903915.1_ASM1690391v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016903935.1_ASM1690393v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016903995.1_ASM1690399v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016904055.1_ASM1690405v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_016904075.1_ASM1690407v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016904115.1_ASM1690411v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016904175.1_ASM1690417v1	ecoli_achtman_4	420	adk(13)	fumC(38)	gyrB(84)	icd(13)	mdh(17)	purA(68)	recA(34)
GCF_016904195.1_ASM1690419v1	ecoli_achtman_4	1231	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(151)	purA(11)	recA(26)
GCF_016904235.1_ASM1690423v1	ecoli_achtman_4	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
GCF_016904255.1_ASM1690425v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016904335.1_ASM1690433v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016904395.1_ASM1690439v1	ecoli_achtman_4	398	adk(64)	fumC(7)	gyrB(1)	icd(1)	mdh(8)	purA(8)	recA(6)
GCF_016904435.1_ASM1690443v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016904455.1_ASM1690445v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016904475.1_ASM1690447v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016904495.1_ASM1690449v1	ecoli_achtman_4	405	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
GCF_016904535.1_ASM1690453v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_016904555.1_ASM1690455v1	ecoli_achtman_4	624	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(91)
GCF_016904575.1_ASM1690457v1	ecoli_achtman_4	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
GCF_016904615.1_ASM1690461v1	ecoli_achtman_4	144	adk(13)	fumC(43)	gyrB(9)	icd(36)	mdh(30)	purA(44)	recA(25)
GCF_016904655.1_ASM1690465v1	ecoli_achtman_4	969	adk(13)	fumC(43)	gyrB(13)	icd(14)	mdh(128)	purA(94)	recA(92)
GCF_016904695.1_ASM1690469v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016939795.1_ASM1693979v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_016942475.1_ASM1694247v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016942505.1_ASM1694250v1	ecoli_achtman_4	654	adk(6)	fumC(95)	gyrB(5)	icd(18)	mdh(9)	purA(8)	recA(6)
GCF_016942535.1_ASM1694253v1	ecoli_achtman_4	278	adk(9)	fumC(23)	gyrB(64)	icd(18)	mdh(11)	purA(8)	recA(6)
GCF_016942575.1_ASM1694257v1	ecoli_achtman_4	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
GCF_016942595.1_ASM1694259v1	ecoli_achtman_4	1585	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(1)	recA(2)
GCF_016942615.1_ASM1694261v1	ecoli_achtman_4	11225	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(1)	recA(306)
GCF_016942635.1_ASM1694263v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_016942655.1_ASM1694265v1	ecoli_achtman_4	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
GCF_016944635.1_ASM1694463v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016944655.1_ASM1694465v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_016944675.1_ASM1694467v1	ecoli_achtman_4	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_016944695.1_ASM1694469v1	ecoli_achtman_4	165	adk(10)	fumC(27)	gyrB(5)	icd(10)	mdh(12)	purA(8)	recA(2)
GCF_016944715.1_ASM1694471v1	ecoli_achtman_4	3944	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(179)	purA(8)	recA(2)
GCF_016944735.1_ASM1694473v1	ecoli_achtman_4	542	adk(112)	fumC(11)	gyrB(5)	icd(12)	mdh(8)	purA(8)	recA(86)
GCF_016944755.1_ASM1694475v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_016944775.1_ASM1694477v1	ecoli_achtman_4	4014	adk(43)	fumC(41)	gyrB(378)	icd(18)	mdh(11)	purA(7)	recA(6)
GCF_017088405.1_ASM1708840v1	ecoli_achtman_4	7087	adk(10)	fumC(27)	gyrB(5)	icd(10)	mdh(603)	purA(8)	recA(2)
GCF_017088425.1_ASM1708842v1	ecoli_achtman_4	1011	adk(6)	fumC(4)	gyrB(159)	icd(44)	mdh(112)	purA(1)	recA(17)
GCF_017088445.1_ASM1708844v1	ecoli_achtman_4	4088	adk(6)	fumC(4)	gyrB(3)	icd(26)	mdh(7)	purA(8)	recA(2)
GCF_017088465.1_ASM1708846v1	ecoli_achtman_4	2705	adk(10)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(2)
GCF_017088485.1_ASM1708848v1	ecoli_achtman_4	2325	adk(8)	fumC(7)	gyrB(4)	icd(8)	mdh(8)	purA(18)	recA(6)
GCF_017161035.1_ASM1716103v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_017161345.1_ASM1716134v1	ecoli_achtman_4	206	adk(6)	fumC(7)	gyrB(5)	icd(1)	mdh(8)	purA(18)	recA(2)
GCF_017164755.1_ASM1716475v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164775.1_ASM1716477v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164795.1_ASM1716479v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164815.1_ASM1716481v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164835.1_ASM1716483v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164855.1_ASM1716485v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164875.1_ASM1716487v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164895.1_ASM1716489v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164915.1_ASM1716491v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164935.1_ASM1716493v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164955.1_ASM1716495v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164975.1_ASM1716497v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017164995.1_ASM1716499v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165015.1_ASM1716501v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165035.1_ASM1716503v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165055.1_ASM1716505v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165075.1_ASM1716507v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165095.1_ASM1716509v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165115.1_ASM1716511v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165135.1_ASM1716513v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165155.1_ASM1716515v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165215.1_ASM1716521v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165235.1_ASM1716523v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165255.1_ASM1716525v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165275.1_ASM1716527v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165295.1_ASM1716529v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165315.1_ASM1716531v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165335.1_ASM1716533v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165355.1_ASM1716535v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165375.1_ASM1716537v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165395.1_ASM1716539v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165415.1_ASM1716541v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165435.1_ASM1716543v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017165455.1_ASM1716545v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017310055.1_ASM1731005v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_017310445.1_ASM1731044v1	ecoli_achtman_4	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
GCF_017338715.1_ASM1733871v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_017348835.2_ASM1734883v2	ecoli_achtman_4	799	adk(79)	fumC(84)	gyrB(71)	icd(78)	mdh(52)	purA(117)	recA(2)
GCF_017352035.1_ASM1735203v1	ecoli_achtman_4	393	adk(18)	fumC(106)	gyrB(17)	icd(6)	mdh(5)	purA(5)	recA(4)
GCF_017352055.1_ASM1735205v1	ecoli_achtman_4	46	adk(8)	fumC(7)	gyrB(1)	icd(8)	mdh(8)	purA(8)	recA(6)
GCF_017352075.1_ASM1735207v1	ecoli_achtman_4	58	adk(6)	fumC(4)	gyrB(4)	icd(16)	mdh(24)	purA(8)	recA(14)
GCF_017356665.1_ASM1735666v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_017357505.1_ASM1735750v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_017357545.1_ASM1735754v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_017357565.1_ASM1735756v1	ecoli_achtman_4	1294	adk(10)	fumC(99)	gyrB(5)	icd(91)	mdh(8)	purA(8)	recA(2)
GCF_017357765.1_ASM1735776v1	ecoli_achtman_4	6507	adk(21)	fumC(35)	gyrB(61)	icd(683)	mdh(5)	purA(5)	recA(4)
GCF_017570585.1_ASM1757058v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_017570605.1_ASM1757060v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_017570625.1_ASM1757062v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
